7-Zip 23.01 (x64) (Versiyon: 23.01, Yayıncı: Igor Pavlov)
ACA & MEP 2023 Object Enabler (Versiyon: 8.5.46.0, Yayıncı: Autodesk)
ACAD Private (Versiyon: 24.2.53.0, Yayıncı: Autodesk)
ACADE Private (Versiyon: 20.0.53.0, Yayıncı: Autodesk)
AI Suite 3 (Versiyon: 3.00.13, Yayıncı: ASUSTeK Computer Inc.)
AIDA64 Extreme v6.33 (Versiyon: 6.33, Yayıncı: FinalWire Ltd.)
AIMP (Versiyon: 5.11.2435, Yayıncı: Artem Izmaylov)
ARMOURY CRATE Lite Service (Versiyon: 5.6.8, Yayıncı: ASUS)
ASUS AURA Extension Card HAL (Versiyon: 1.1.0.20, Yayıncı: ASUSTeK COMPUTER INC.)
ASUS AURA Headset Component (Versiyon: 1.3.50.0, Yayıncı: ASUSTek COMPUTER INC.)
ASUS AURA VGA Component (Versiyon: 0.0.3.1, Yayıncı: ASUSTek COMPUTER INC. )
ASUS Aura SDK (Versiyon: 3.04.32, Yayıncı: ASUSTek COMPUTER INC.)
ASUS Framework Service (Versiyon: 4.0.0.9, Yayıncı: ASUSTeK Computer Inc.)
ASUS GLCKIO2 Driver (Versiyon: 1.0.20, Yayıncı: ASUSTeK Computer Inc.)
ASUS Keyboard HAL (Versiyon: 1.2.35.0, Yayıncı: ASUSTek COMPUTER INC.)
ASUS Update Helper (Versiyon: 1.3.107.103, Yayıncı: ASUSTeK Computer Inc.)
AURA DRAM Component (Versiyon: 1.1.06, Yayıncı: ASUS)
AURA Service (Versiyon: 3.07.17, Yayıncı: ASUSTeK Computer Inc.)
AURA lighting effect add-on (Versiyon: 0.0.36, Yayıncı: ASUS)
AURA lighting effect add-on x64 (Versiyon: 0.0.36, Yayıncı: ASUS)
Adobe Acrobat (64-bit) (Versiyon: 23.006.20320, Yayıncı: Adobe)
Adobe After Effects 2022 (Versiyon: 22.0.1, Yayıncı: Adobe Inc.)
Adobe Creative Cloud (Versiyon: 6.0.0.571, Yayıncı: Adobe Inc.)
Adobe Genuine Service (Versiyon: 8.3.0.61, Yayıncı: Adobe Inc.)
Adobe Illustrator 2023 (Versiyon: 27.9, Yayıncı: Adobe Inc.)
Adobe Media Encoder 2022 (Versiyon: 22.0, Yayıncı: Adobe Inc.)
Adobe Photoshop 2024 (Versiyon: 25.0.0.37, Yayıncı: Adobe Inc.)
Adobe Refresh Manager (Versiyon: 1.8.0, Yayıncı: Adobe Systems Incorporated)
Advanced SystemCare (Versiyon: 16.5.0, Yayıncı: IObit)
